FID IID PC1 PC2 PC3 PC4
WGAAD 271 0.0422588 0.0450329 0.00234915 0.0109409
WGAAD 272 0.0543843 0.0504514 0.00645698 -0.00419736
WGAAD 273 0.0485493 0.0481358 0.00199711 0.00641756
WGAAD 274 0.0425833 0.0454078 4.67671e-05 0.00613839
WGAAD 275 0.0583334 0.0495534 0.00806578 0.000284065
WGAAD 278 0.046691 0.0447142 0.00238465 0.00951049
WGAAD 280 0.0479712 0.0413139 -0.000115089 0.00743578
WGAAD 282 0.0562144 0.0523568 0.00507337 -0.00233743
WGAAD 284 0.0554527 0.0518624 0.0099119 0.00356746
WGAAD 287 0.0560716 0.0530043 0.00838669 -0.00515706
WGAAD 289 0.0573678 0.0524979 0.0060197 -0.00512533
WGAAD 293 0.0568149 0.0496479 0.00844854 -0.00479711
WGAAD 295 0.0551769 0.051594 0.0081901 -0.0038407
WGAAD 297 0.0540888 0.0495354 0.010012 -0.00232278
WGAAD 304 0.0459866 0.0475974 0.000224605 0.00874871
WGAAD 305 0.0554747 0.0522768 0.00773747 -0.001387
WGAAD 316 0.0533829 0.0506523 0.00743496 -0.00161064
WGAAD 329 0.0568651 0.0494141 0.00949705 -0.00365802
WGAAD 330 0.0462848 0.0480303 0.00227001 0.00849392
WGAAD 347 0.045401 0.0478452 -0.000621441 0.00736051
WGAAD 375 0.0554431 0.0506583 0.00699531 -0.00364592
WGAAD 377 0.0555218 0.0498548 0.00526243 0.00149374
WGAAD 378 0.0581686 0.0528058 0.00784955 -0.0022678
WGAAD 379 0.0560491 0.0482961 0.00532845 0.00112085
WGAAD 380 0.0578825 0.0505086 0.00962137 -0.00579615
WGAAD 381 0.0559648 0.0511947 0.00719054 -0.00071182
WGAAD 382 0.0465878 0.0458665 0.00257042 0.0086616
WGAAD 383 0.0553234 0.0498863 0.0094242 -0.00480631
WGAAD 384 0.0556436 0.0517188 0.00652767 -0.00214866
WGAAD 385 0.0438818 0.0455271 -0.00116792 0.00842976
WGAAD 386 0.0554539 0.0517048 0.00819207 -0.0028824
WGAAD 389 0.0580463 0.0500061 0.00796072 -0.00336091
WGAAD 390 0.0530473 0.0509846 0.00881784 -0.00280787
WGAAD 391 0.0575839 0.0508548 0.00612288 -0.00252179
WGAAD 393 0.0556289 0.0480422 0.0085766 -0.0016801
WGAAD 394 0.0557599 0.0498998 0.00847485 -0.00241226
WGAAD 395 0.0534996 0.0489262 0.00763024 -0.00338484
WGAAD 396 0.0531363 0.051557 0.00510207 0.000910708
WGAAD 397 0.0556461 0.0512741 0.00815104 -0.00281511
WGAAD 398 0.052556 0.0497561 0.00408005 0.00388761
WGAAD 399 0.0428042 0.0479829 0.00039007 0.00930702
WGAAD 401 0.0557653 0.0539593 0.00791759 -0.00234093
WGAAD 402 0.0525785 0.0493345 0.00765396 -0.00477697
WGAAD 407 0.0568973 0.052144 0.0121823 -0.00327984
WGAAD 411 0.0540316 0.0511976 0.00896527 -0.00329783
WGAAD 413 0.0569779 0.0507767 0.0119337 -0.00303438
WGAAD 417 0.0567649 0.0503714 0.00575028 -0.000616515
WGAAD 418 0.0565944 0.048426 0.0073261 -0.00719421
WGAAD 421 0.056292 0.0503619 0.00598859 -0.00543314
WGAAD 422 0.0562223 0.0499961 0.00969015 -0.00391094
WGAAD 423 0.055571 0.0509153 0.00901578 -0.00642002
WGAAD 425 0.0568372 0.0504952 0.00845035 -0.00537283
WGAAD 426 0.0569176 0.0529201 0.00612021 -0.003875
WGAAD 428 0.0478889 0.0509837 0.00626153 -0.00257988
WGAAD 431 0.0565714 0.0527313 0.00750958 -0.00456005
WGAAD 436 0.0552529 0.0506945 0.00444561 -0.00430772
WGAAD 437 0.0569151 0.0493691 0.00974408 -0.00529313
WGAAD 441 0.0571677 0.0518457 0.00547119 -0.00663378
WGAAD 442 0.0547708 0.0512873 0.00819006 -0.00270095
WGAAD 444 0.0556167 0.0539677 0.00728501 -0.00463739
WGAAD 446 0.0576756 0.0514449 0.0108877 -0.000236881
WGAAD 449 0.0448167 0.049357 -0.0018771 0.00772506
WGAAD 456 0.0596521 0.0511774 0.00987077 -0.00424473
WGAAD 459 0.055844 0.0513305 0.0100909 -0.004289
WGAAD 460 0.0548738 0.0489503 0.00828267 -0.00184872
WGAAD 462 0.0570763 0.0503824 0.009951 -0.00303435
WGAAD 463 0.0565855 0.0490472 0.0105006 -0.00498638
WGAAD 474 0.0550844 0.0495288 0.00627662 -0.00237663
WGAAD 476 0.0573506 0.049704 0.00960094 -0.00464317
WGAAD 477 0.0565442 0.0509623 0.00706223 -0.00427894
WGAAD 480 0.0566124 0.0486003 0.00874966 -0.00568524
WGAAD 481 0.0516945 0.0527341 0.00590805 0.00435581
WGAAD 486 0.0549222 0.0531936 0.00713995 -0.00430146
WGACON 1 0.055294 0.0485451 0.00856713 -0.00288357
WGACON 6 0.0578917 0.0499612 0.00870629 -0.00445888
WGACON 7 0.0576191 0.0511856 0.00647978 -0.00443919
WGACON 9 0.0502359 0.0498343 0.00390848 0.00150968
WGACON 11 0.0568588 0.0512711 0.00891546 -0.00166588
WGACON 12 0.0496494 0.0462037 0.00440872 0.00424717
WGACON 15 0.0472153 0.0457672 -0.000602467 0.0109684
WGACON 17 0.0578963 0.0531617 0.00778239 -0.00228892
WGACON 18 0.0527065 0.0519405 0.00753701 -0.00109684
WGACON 20 0.0549173 0.0519718 0.00735837 -0.00179957
WGACON 22 0.0554656 0.0517092 0.00945843 -0.0045153
WGACON 25 0.0551407 0.0491787 0.00782625 -0.00166088
WGACON 26 0.0587931 0.05006 0.0106774 -0.00421263
WGACON 29 0.0560006 0.0520745 0.00919835 -0.00303854
WGACON 30 0.0580067 0.0525741 0.00273956 -0.00215701
WGACON 31 0.0562838 0.0502156 0.0084782 -0.00435651
WGACON 32 0.0554763 0.0498673 0.0086416 -0.00180944
WGACON 33 0.0561771 0.0503374 0.00891724 -0.00384489
WGACON 34 0.0561237 0.0494138 0.00905622 -0.00716149
